Date,Open,High,Low,Close,Volume,Adj Close
2015-04-09,80.50,81.209999,80.279999,80.68,4291900,79.284731
2015-04-08,80.839996,81.239998,79.919998,80.440002,4196200,79.048883
2015-04-07,81.220001,81.43,80.50,80.540001,3526300,79.147153
2015-04-06,80.349998,82.00,79.980003,81.489998,4495400,80.08072
2015-04-02,79.599998,80.50,79.400002,80.239998,3555300,78.852338
2015-04-01,80.029999,80.519997,79.389999,79.639999,4446200,78.262716
2015-03-31,80.510002,80.650002,79.809998,80.029999,4848600,78.64597
2015-03-30,80.010002,81.519997,80.00,81.370003,4621200,79.9628
2015-03-27,79.459999,79.879997,78.760002,79.669998,6336900,78.292196
2015-03-26,79.639999,80.800003,79.510002,79.879997,4238500,78.498563
2015-03-25,81.029999,81.040001,79.830002,79.860001,4803000,78.478912
2015-03-24,81.150002,81.199997,80.199997,80.480003,3978700,79.088193
2015-03-23,81.190002,81.919998,81.019997,81.089996,4704000,79.687636
2015-03-20,80.620003,81.25,80.190002,81.190002,8216600,79.785913
2015-03-19,80.50,80.50,79.559998,80.089996,5236200,78.70493
2015-03-18,78.25,81.440002,78.25,81.330002,12154300,79.923491
2015-03-17,79.349998,79.349998,78.25,78.449997,6979900,77.093293
2015-03-16,79.57,80.00,79.059998,79.970001,3598500,78.58701
2015-03-13,79.900002,79.910004,78.190002,79.230003,7272700,77.85981
2015-03-12,80.269997,80.480003,79.800003,80.190002,3612500,78.803207
2015-03-11,80.150002,80.150002,79.260002,79.699997,4612200,78.321676
2015-03-10,80.019997,80.760002,79.739998,79.910004,4850500,78.52805
2015-03-09,80.169998,81.339996,80.099998,80.809998,4740500,79.41248
2015-03-06,80.370003,81.209999,79.550003,80.059998,7913800,78.67545
2015-03-05,81.730003,81.730003,80.059998,81.510002,7123500,80.100379
2015-03-04,82.57,82.610001,80.830002,81.730003,6863600,80.316575
2015-03-03,82.709999,83.790001,82.650002,82.839996,4331700,81.407372
2015-03-02,82.900002,83.07,82.239998,83.00,4155000,81.564609
2015-02-27,84.18,84.18,82.889999,82.900002,4370500,81.46634
2015-02-26,85.099998,85.099998,83.559998,83.800003,4457000,82.350777
2015-02-25,84.519997,85.360001,84.169998,85.150002,3449500,83.677428
2015-02-24,83.769997,84.690002,83.599998,84.50,3678700,83.038668
2015-02-23,83.900002,83.980003,83.139999,83.489998,5180000,82.046133
2015-02-20,83.300003,84.620003,82.400002,84.440002,6029400,82.979708
2015-02-19,83.809998,84.00,82.209999,83.300003,5733500,81.859424
2015-02-18,84.919998,85.809998,84.580002,84.800003,3568600,83.333483
2015-02-17,84.860001,85.580002,84.199997,85.379997,3924400,83.903447
2015-02-13,84.110001,85.489998,84.029999,85.129997,5645500,83.65777
2015-02-12,84.080002,84.25,83.309998,83.529999,4623000,82.085442
2015-02-11,83.559998,83.669998,82.239998,83.410004,5722600,81.967522
2015-02-10,85.00,85.00,83.459999,83.900002,6569100,82.449046
2015-02-09,83.050003,84.870003,82.949997,84.669998,7693800,83.205726
2015-02-06,83.599998,84.139999,82.800003,83.209999,5559300,81.770976
2015-02-05,82.400002,83.629997,81.870003,83.57,6640200,82.124751
2015-02-04,82.779999,83.32,81.660004,81.949997,8806500,80.532764
2015-02-03,81.220001,84.110001,81.150002,83.919998,10895300,82.468697
2015-02-02,80.080002,80.879997,79.489998,80.839996,7149000,79.44196
2015-01-30,79.510002,80.82,79.419998,79.970001,8150700,78.58701
2015-01-29,79.910004,80.18,78.809998,80.00,9157000,78.61649
2015-01-28,80.400002,81.199997,79.959999,80.010002,14269300,78.62632
2015-01-27,79.739998,81.349998,79.099998,79.849998,27489500,78.469083
2015-01-26,85.360001,86.260002,84.900002,86.029999,8140500,84.542207
2015-01-23,86.790001,87.00,85.199997,85.610001,5027500,84.129472
2015-01-22,86.050003,87.360001,85.43,86.82,5567800,85.318546
2015-01-21,83.589996,85.400002,83.589996,85.370003,6613100,83.893625
2015-01-20,84.419998,84.50,83.190002,83.970001,5937300,82.517835
2015-01-16,84.239998,84.32,83.050003,83.860001,10424800,82.409737
2015-01-15,85.370003,86.169998,84.300003,84.32,6683900,82.861781
2015-01-14,84.889999,86.220001,84.269997,86.07,10366700,83.893622
2015-01-13,87.68,87.900002,85.199997,86.370003,5070400,84.186039
2015-01-12,87.730003,87.769997,86.07,86.889999,4351600,84.692887
2015-01-09,88.760002,88.889999,87.019997,87.650002,4852200,85.433671
2015-01-08,89.18,89.279999,87.839996,88.709999,7617800,86.466866
2015-01-07,87.370003,88.139999,86.419998,87.809998,6511100,85.589622
2015-01-06,87.279999,87.68,85.169998,86.470001,8660600,84.283509
2015-01-05,90.349998,90.419998,86.599998,87.029999,11301400,84.829346
2015-01-02,91.769997,92.370003,90.660004,91.879997,3767900,89.556707
2014-12-31,92.889999,93.57,91.449997,91.529999,3251100,89.215559
2014-12-30,93.599998,93.629997,92.510002,92.589996,3197400,90.248753
2014-12-29,94.199997,94.279999,93.589996,93.709999,2390500,91.340435
2014-12-26,93.949997,94.660004,93.720001,94.230003,3120000,91.84729
2014-12-24,93.639999,93.980003,93.269997,93.720001,1654200,91.350184
2014-12-23,92.989998,93.940002,92.650002,93.50,3554200,91.135746
2014-12-22,92.459999,92.809998,91.849998,92.32,4577200,89.985583
2014-12-19,91.580002,91.980003,90.879997,91.709999,9689200,89.391007
2014-12-18,91.889999,91.889999,90.550003,91.690002,8344400,89.371516
2014-12-17,89.400002,90.139999,88.029999,89.75,8671600,87.480569
2014-12-16,89.230003,92.25,89.150002,89.339996,7649500,87.080933
2014-12-15,91.25,91.290001,89.389999,89.75,6924100,87.480569
2014-12-12,92.00,92.00,89.959999,90.50,10327200,88.211605
2014-12-11,93.68,94.290001,92.529999,92.690002,4664900,90.34623
2014-12-10,94.910004,95.019997,92.75,93.019997,6749600,90.66788
2014-12-09,94.169998,96.169998,93.800003,95.449997,6562900,93.036435
2014-12-08,98.660004,98.760002,95.199997,95.25,7192100,92.841495
2014-12-05,99.809998,99.959999,98.709999,98.779999,3605000,96.282234
2014-12-04,99.690002,100.870003,99.510002,99.669998,3390100,97.149729
2014-12-03,100.040001,101.459999,99.959999,100.18,6930700,97.646835
2014-12-02,99.480003,99.959999,98.720001,99.510002,3899200,96.993778
2014-12-01,100.239998,100.470001,97.790001,99.00,7431800,96.496672
2014-11-28,104.389999,104.610001,100.120003,100.599998,5780900,98.056213
2014-11-26,106.290001,106.440002,105.449997,105.790001,2463800,103.11498
2014-11-25,106.099998,106.629997,105.330002,106.239998,3321500,103.553599
2014-11-24,106.400002,106.470001,105.099998,105.959999,4108600,103.28068
2014-11-21,104.300003,107.120003,104.199997,106.449997,8737800,103.758288
2014-11-20,100.330002,102.139999,100.07,102.089996,3052500,99.508535
2014-11-19,101.860001,102.300003,100.889999,101.300003,4679100,98.738517
2014-11-18,101.699997,102.449997,101.309998,102.040001,2761200,99.459803
2014-11-17,101.25,102.080002,100.449997,101.699997,2477000,99.128397
2014-11-14,101.00,101.699997,100.650002,101.339996,2660400,98.777499
2014-11-13,103.059998,103.18,100.68,101.110001,3924100,98.553319
2014-11-12,102.169998,103.220001,101.519997,102.989998,2805400,100.385779
2014-11-11,102.309998,102.800003,101.599998,102.529999,2464400,99.937411
2014-11-10,101.860001,102.550003,101.860001,102.209999,3308100,99.625503
2014-11-07,101.260002,101.830002,100.900002,101.760002,2708200,99.186885
2014-11-06,99.510002,100.989998,99.239998,100.910004,3427700,98.358379
2014-11-05,99.449997,99.639999,98.449997,99.410004,3515600,96.896309
2014-11-04,99.75,100.00,98.040001,98.610001,4849000,96.116535
2014-11-03,101.610001,101.760002,99.769997,100.220001,4434300,97.685824
2014-10-31,101.349998,102.370003,100.839996,101.410004,5367700,98.845736
2014-10-30,99.629997,100.580002,99.059998,100.160004,2648300,97.627344
2014-10-29,101.529999,101.839996,99.839996,100.190002,4426400,97.656584
2014-10-28,99.440002,101.160004,99.029999,101.160004,5053400,98.602058
2014-10-27,98.68,98.769997,97.150002,98.540001,4346100,96.048305
2014-10-24,99.510002,99.68,98.370003,99.440002,4133800,96.925549
2014-10-23,97.599998,99.940002,97.339996,99.269997,11670100,96.759842
2014-10-22,95.529999,95.980003,94.050003,94.57,6211300,92.17869
2014-10-21,95.040001,96.32,95.040001,95.889999,3990500,93.465312
2014-10-20,94.529999,95.300003,93.269997,94.029999,4270800,91.652343
2014-10-17,94.199997,95.599998,93.980003,95.050003,7442600,92.646556
2014-10-16,90.269997,94.150002,90.269997,93.239998,7439400,90.882318
2014-10-15,91.43,92.75,90.050003,92.589996,9377600,89.566453
2014-10-14,92.510002,95.010002,92.389999,92.800003,6791300,89.769602
2014-10-13,93.290001,94.059998,91.620003,91.68,5852400,88.686173
2014-10-10,93.239998,94.57,91.610001,93.129997,6179100,90.08882
2014-10-09,96.209999,96.519997,93.239998,93.50,6414500,90.446741
2014-10-08,94.580002,96.860001,93.639999,96.650002,6214200,93.493878
2014-10-07,97.089996,97.510002,94.690002,94.699997,6479500,91.607552
2014-10-06,97.809998,98.129997,96.910004,98.00,3982400,94.799792
2014-10-03,98.040001,98.339996,97.029999,97.389999,3921900,94.209711
2014-10-02,97.650002,97.980003,96.150002,97.410004,4460800,94.229063
2014-10-01,98.639999,99.00,97.269997,97.610001,4827300,94.422529
2014-09-30,100.029999,100.099998,98.800003,99.029999,3746100,95.796156
2014-09-29,99.349998,100.099998,98.260002,99.830002,3156400,96.570035
2014-09-26,99.440002,100.639999,99.239998,100.379997,2935900,97.10207
2014-09-25,101.00,101.199997,99.190002,99.510002,4960800,96.260485
2014-09-24,100.040001,101.489998,99.889999,101.199997,5797000,97.895293
2014-09-23,100.860001,101.089996,99.879997,99.989998,5710300,96.724807
2014-09-22,102.099998,102.260002,100.82,100.900002,5093200,97.605094
2014-09-19,104.849998,105.00,102.080002,102.510002,8285400,99.16252
2014-09-18,104.300003,104.550003,103.400002,104.339996,3915800,100.932755
2014-09-17,105.18,105.410004,103.879997,103.989998,5122200,100.594186
2014-09-16,104.209999,105.830002,103.769997,104.860001,5289700,101.435778
2014-09-15,104.32,104.900002,103.220001,104.860001,7051900,101.435778
2014-09-12,104.970001,105.089996,104.400002,105.019997,6904200,101.59055
2014-09-11,105.660004,105.660004,104.589996,105.589996,5460100,102.141936
2014-09-10,105.610001,106.120003,105.379997,105.93,8154700,102.470837
2014-09-09,107.82,108.199997,107.190002,107.400002,3578500,103.892835
2014-09-08,108.230003,108.459999,107.519997,107.910004,3496900,104.386183
2014-09-05,109.00,109.18,108.190002,108.540001,4305000,104.995608
2014-09-04,108.300003,109.489998,108.160004,108.82,4604000,105.266463
2014-09-03,109.449997,109.660004,108.050003,108.459999,4669000,104.918218
2014-09-02,109.029999,109.730003,108.830002,108.919998,4040200,105.363196
2014-08-29,108.900002,109.099998,108.25,109.07,4437200,105.508299
2014-08-28,108.019997,108.82,107.800003,108.650002,3227800,105.102016
2014-08-27,108.129997,108.919998,108.080002,108.550003,3281900,105.005283
2014-08-26,108.050003,108.639999,107.980003,108.059998,2865800,104.531279
2014-08-25,107.959999,108.330002,107.730003,107.970001,3014100,104.444221
2014-08-22,107.580002,107.82,106.540001,107.309998,4603700,103.80577
2014-08-21,108.169998,108.57,107.540001,107.970001,4118100,104.444221
2014-08-20,107.389999,108.150002,107.199997,107.699997,5341600,104.183034
2014-08-19,107.260002,107.699997,106.870003,107.300003,3639200,103.796102
2014-08-18,106.690002,107.099998,106.279999,106.980003,3478600,103.486552
2014-08-15,106.010002,106.419998,105.129997,105.739998,4099200,102.287039
2014-08-14,105.510002,106.00,104.989998,105.660004,4178800,102.209657
2014-08-13,104.330002,105.50,104.330002,105.160004,4664900,101.725985
2014-08-12,104.589996,105.160004,104.129997,104.330002,4200900,100.923087
2014-08-11,104.610001,104.849998,103.93,104.50,5197900,101.087534
2014-08-08,102.010002,103.440002,101.779999,103.279999,4690200,99.907372
2014-08-07,102.660004,103.470001,101.879997,101.940002,5752800,98.611133
2014-08-06,100.760002,101.849998,100.610001,101.489998,5526900,98.175824
2014-08-05,101.110001,102.470001,100.940002,101.50,5685400,98.185499
2014-08-04,100.360001,102.050003,100.099998,101.809998,5183900,98.485374
2014-08-01,100.519997,100.849998,99.110001,100.519997,6011900,97.237498
