Date,Open,High,Low,Close,Volume,Adj Close
2015-07-31,111.949997,115.00,111.150002,114.309998,15591200,114.309998
2015-07-30,106.400002,111.900002,105.400002,111.559998,14180000,111.559998
2015-07-29,106.830002,107.75,105.400002,107.080002,6428600,107.080002
2015-07-28,107.290001,107.940002,103.879997,106.900002,11135600,106.900002
2015-07-27,107.790001,109.860001,106.25,106.43,11272700,106.43
2015-07-24,111.550003,111.68,108.900002,109.339996,8125100,109.339996
2015-07-23,110.910004,112.18,109.839996,110.099998,8306800,110.099998
2015-07-22,112.139999,113.879997,110.559998,111.50,10500500,111.50
2015-07-21,110.209999,113.709999,109.32,112.510002,14085400,112.510002
2015-07-20,114.699997,114.699997,110.139999,110.550003,22676900,110.550003
2015-07-17,117.339996,117.879997,114.239998,114.769997,25136900,114.769997
2015-07-16,111.019997,116.489998,107.68,115.809998,63461000,115.809998
2015-07-15,99.970001,100.75,97.050003,98.129997,30898600,98.129997
2015-07-14,708.900017,711.449982,697.569984,702.600006,19736500,100.371429
2015-07-13,686.690002,716.159996,686.550026,707.610001,32981900,101.087143
2015-07-10,682.660004,689.519974,678.300011,680.599983,21636300,97.228569
2015-07-09,664.300011,670.919975,659.999992,670.089996,16076900,95.727142
2015-07-08,654.299995,657.969986,645.990005,654.549988,12990600,93.507141
2015-07-07,665.089989,667.989975,648.359993,658.640015,21573300,94.091431
2015-07-06,654.309982,664.500015,653.379974,661.999985,11808300,94.571426
2015-07-02,657.990013,659.389992,652.500008,658.31002,11053000,94.044289
2015-07-01,663.640022,666.669998,652.530022,655.449982,14699300,93.635712
2015-06-30,653.499977,660.48999,649.499992,656.940002,16880500,93.848572
2015-06-29,640.540001,650.389999,637.819992,645.62001,24575600,92.23143
2015-06-26,667.100021,667.199997,651.619987,651.619987,30314900,93.08857
2015-06-25,668.37001,672.00,654.210007,664.239983,41623400,94.891426
2015-06-24,700.099976,706.239983,674.779984,678.609978,77138600,96.944283
2015-06-23,674.350014,681.729996,670.25,681.19001,15626100,97.312859
2015-06-22,665.29998,676.849991,659.319977,674.899986,16732800,96.414284
2015-06-19,673.700012,674.93,656.749985,657.100006,19814900,93.871429
2015-06-18,662.559998,667.390015,660.579979,663.200012,8962800,94.742859
2015-06-17,665.930008,665.930008,657.70002,659.900017,9905000,94.271431
