Date,Open,High,Low,Close,Volume,Adj Close
2015-07-31,105.699997,106.32,105.059998,105.199997,2539100,105.199997
2015-07-30,104.220001,105.300003,103.949997,104.889999,1752300,104.889999
2015-07-29,103.739998,104.68,103.050003,104.589996,2083500,104.589996
2015-07-28,103.449997,104.260002,103.019997,104.089996,2797000,104.089996
2015-07-27,102.440002,103.879997,102.410004,103.50,1455800,103.50
2015-07-24,101.830002,102.82,101.769997,102.279999,1058000,102.279999
2015-07-23,102.800003,102.849998,101.220001,102.07,1947500,102.07
2015-07-22,102.18,103.419998,102.139999,102.800003,2095100,102.800003
2015-07-21,103.139999,103.480003,101.779999,102.129997,2147000,102.129997
2015-07-20,103.730003,103.980003,102.699997,103.150002,2248600,103.150002
2015-07-17,104.43,104.510002,103.489998,103.650002,1561500,103.650002
2015-07-16,102.800003,104.93,102.709999,104.43,2477900,104.43
2015-07-15,102.040001,102.779999,101.419998,102.769997,1259300,102.769997
2015-07-14,101.959999,102.540001,101.629997,101.989998,1232200,101.989998
2015-07-13,102.010002,102.410004,101.32,101.970001,1420500,101.970001
2015-07-10,101.150002,102.279999,100.540001,101.639999,1508900,101.639999
2015-07-09,102.260002,102.82,100.82,101.18,2751200,101.18
2015-07-08,102.400002,102.910004,101.949997,101.949997,2676300,101.949997
2015-07-07,100.25,103.699997,100.25,102.879997,3070700,102.879997
2015-07-06,100.019997,100.860001,99.339996,100.459999,1716500,100.459999
2015-07-02,98.970001,100.57,98.949997,100.220001,2213000,100.220001
2015-07-01,98.410004,98.790001,97.919998,98.43,1894600,98.43
2015-06-30,98.580002,99.040001,97.809998,98.029999,2685700,98.029999
2015-06-29,97.709999,99.809998,97.709999,98.169998,2006800,98.169998
2015-06-26,97.900002,98.790001,97.230003,98.699997,1671000,98.699997
2015-06-25,98.849998,99.029999,97.860001,97.989998,1479600,97.989998
2015-06-24,99.410004,99.910004,98.529999,98.529999,1576200,98.529999
2015-06-23,100.599998,100.879997,99.220001,99.290001,1697900,99.290001
2015-06-22,101.470001,101.599998,100.540001,100.760002,1245800,100.760002
2015-06-19,102.239998,102.480003,100.959999,100.959999,2038000,100.959999
2015-06-18,100.790001,102.400002,100.639999,102.260002,2169400,102.260002
2015-06-17,99.489998,100.980003,99.089996,100.699997,2124300,100.699997
2015-06-16,99.129997,99.769997,98.589996,99.529999,1259700,99.529999
2015-06-15,98.489998,99.650002,98.489998,99.120003,1517100,99.120003
2015-06-12,99.18,99.830002,99.010002,99.239998,1178400,99.239998
2015-06-11,99.620003,99.940002,99.129997,99.669998,1436100,99.669998
2015-06-10,98.769997,99.470001,98.699997,99.120003,2689000,99.120003
2015-06-09,98.129997,98.629997,98.07,98.190002,1409300,98.190002
2015-06-08,98.68,98.870003,98.110001,98.120003,1813400,98.120003
2015-06-05,99.309998,99.330002,98.540001,98.769997,2391500,98.769997
2015-06-04,99.860001,100.889999,99.75,100.370003,2153100,100.370003
